bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
W000815,2019 HON. BRAD R. WENSTRUP,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,676678.15,233749.94,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000815,2019 HON. BRAD R. WENSTRUP,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52977,18099.38,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000815,2019 HON. BRAD R. WENSTRUP,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,59283.02,27463.49,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000815,2019 HON. BRAD R. WENSTRUP,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14331.19,9911.01,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000815,2019 HON. BRAD R. WENSTRUP,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,46081.5,12302,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000815,2019 HON. BRAD R. WENSTRUP,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8680.06,2923.17,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000815,2019 HON. BRAD R. WENSTRUP,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7730.72,3216.17,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000815,2019 HON. BRAD R. WENSTRUP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3292.95,1755.29,Brad R. Wenstrup,R,OH,2,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,36772.65,10583.62,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,654826.96,221097.22,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,73156.31,24193.35,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,49966.75,21027,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,39727.96,8681.53,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25947.15,8484.71,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14070.47,4592.99,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1277.89,54.86,Bruce Westerman,R,AR,4,116,2019Q3,true
W000821,2019 HON. BRUCE WESTERMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15148.2,6688.2,Bruce Westerman,R,AR,4,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1505.87,785.31,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,620717.26,218272.88,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9123.31,5814.1,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,58887.89,21551.23,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2728.94,274.85,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32742.74,11834,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,37481.94,15414.86,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,25902.51,7107.6,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000825,2019 HON. JENNIFER WEXTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11128.33,4194.99,Jennifer Wexton,D,VA,10,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3504.87,2783.38,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,636722.19,230249.98,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17755.92,9942.86,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,77009.34,26084.12,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6093.71,4694.04,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32286.28,7344.4,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,29920.81,5441.54,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4983.64,1890.03,Susan Wild,D,PA,15,116,2019Q3,true
W000826,2019 HON. SUSAN WILD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15566.67,7911.67,Susan Wild,D,PA,15,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1555.85,599.51,Roger Williams,R,TX,25,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,618098.08,211963.87,Roger Williams,R,TX,25,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,107052.45,39201.13,Roger Williams,R,TX,25,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,65041.67,21827.77,Roger Williams,R,TX,25,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1998.65,508.85,Roger Williams,R,TX,25,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,79489,37787,Roger Williams,R,TX,25,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8323.25,3279.95,Roger Williams,R,TX,25,116,2019Q3,true
W000816,2019 HON. ROGER WILLIAMS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7310.78,4440.91,Roger Williams,R,TX,25,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,149.03,52.64,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,783796.8,233997.95,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,58453.7,12501.24,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,82534.48,30718.33,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5342.83,1393.46,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33732.6,10374.3,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19981.1,3800.23,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10119.63,3953.21,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000808,2019 HON. FREDERICA S. WILSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9636.67,5173.34,Frederica S. Wilson,D,FL,24,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1821.96,1020.53,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,804346.39,268386.12,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40212.37,14640.25,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,56064.61,19162.04,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2411.52,1057.8,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34660,11670,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8745.13,4570.82,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4464,1488,Joe Wilson,R,SC,2,116,2019Q3,true
W000795,2019 HON. JOE WILSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7600.01,2766.67,Joe Wilson,R,SC,2,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,20639.45,2944.5,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,647686.81,217646.2,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13498.2,4316.23,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,69610.52,24800.66,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,17443.56,1716.92,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,42091.64,18691.76,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15971.82,1983.36,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000804,2019 HON. ROBERT J. WITTMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2543.56,450,Robert J. Wittman,R,VA,1,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,8799.83,3992.37,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,766076.71,259918.34,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,42405.25,18063.46,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,64888.64,22387.41,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7763.49,1371.82,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37914.38,11835.52,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18699.94,4622.86,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4580.95,3783.95,Steve Womack,R,AR,3,116,2019Q3,true
W000809,2019 HON. STEVE WOMACK,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7650,5700,Steve Womack,R,AR,3,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11267.82,329.59,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,649752.9,212422.24,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21260.34,12675.43,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,38551,15074.87,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,17631.61,239.16,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31121.33,10287,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8687.52,1130.38,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3482.42,840.99,Rob Woodall,R,GA,7,116,2019Q3,true
W000810,2019 HON. ROB WOODALL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10266.68,6166.67,Rob Woodall,R,GA,7,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,199.86,132.8,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,577768.98,209852.73,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,41507.39,18870.79,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,36626.86,17141.27,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3017.37,2783.24,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34279.03,13406.24,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11318.23,2585.58,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6978.09,2585.05,Ron Wright,R,TX,6,116,2019Q3,true
W000827,2019 HON. RON WRIGHT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5483.33,3483.33,Ron Wright,R,TX,6,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2358.49,783.58,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,679737.61,233558.28,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21678.2,7284.74,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,54019.38,18141.49,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,568.24,310,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27632.13,8965.73,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6259.6,1599.64,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3502.89,1624.97,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000062,2019 HON. JOHN A. YARMUTH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13560,9640,John A. Yarmuth,D,KY,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1726.9,708.65,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,686821.33,236355.54,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,46899.09,10094.63,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,55040.89,20467.74,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2086.6,479.88,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31934.2,10627.6,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16162.28,2199.7,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13237.82,2852,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000065,2019 HON. TED S. YOHO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2060,2060,Ted S. Yoho,R,FL,3,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1293.13,308.14,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,784449.97,249549.97,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,56976.67,27730.46,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,64033.22,22834.92,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,895.98,243.58,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34425,11400,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14434.08,3359.33,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6918.45,355.98,Don Young,R,AK,0,116,2019Q3,true
Y000033,2019 HON. DON YOUNG,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14634.9,7859.56,Don Young,R,AK,0,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30403.64,6039.86,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,712116.73,238622.24,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26201.34,12735.32,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,81422.27,27492.93,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,32380.38,5964.68,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34898.67,11827,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,25891.57,4888.67,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8320.34,1103.7,Lee M. Zeldin,R,NY,1,116,2019Q3,true
Z000017,2019 HON. LEE M. ZELDIN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6060,3540,Lee M. Zeldin,R,NY,1,116,2019Q3,true
,2019 CONGRESSIONAL BLACK CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,258319.48,105416.69,,,,,116,2019Q3,false
,2019 CONGRESSIONAL BLACK CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,2775.22,1084.93,,,,,116,2019Q3,false
,2019 CONGRESSIONAL BLACK CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,159.9,159.9,,,,,116,2019Q3,false
,2019 CONGRESSIONAL BLACK CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7300,2550,,,,,116,2019Q3,false
,2019 CONGRESSIONAL BLACK CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1350.88,48.72,,,,,116,2019Q3,false
,2019 CONGRESSIONAL BLACK CAUCUS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,12579.19,653.23,,,,,116,2019Q3,false
,2019 CONGRESSIONAL HISPANIC CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,178172.25,67250.01,,,,,116,2019Q3,false
,2019 CONGRESSIONAL HISPANIC CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,2793.26,1098.85,,,,,116,2019Q3,false
,2019 CONGRESSIONAL PROGRESSIVE CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,131449.99,69277.77,,,,,116,2019Q3,false
,2019 CONGRESSIONAL PROGRESSIVE CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,60.93,60.93,,,,,116,2019Q3,false
,2019 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,206553.15,79405.52,,,,,116,2019Q3,false
,2019 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,419,200,,,,,116,2019Q3,false
,2019 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,209.85,0,,,,,116,2019Q3,false
,2019 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3150,1050,,,,,116,2019Q3,false
,2019 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4897.55,2312.03,,,,,116,2019Q3,false
,2019 CONGRESSIONAL WESTERN CAUCUS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,530.42,0,,,,,116,2019Q3,false
,2019 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,250727.77,90000,,,,,116,2019Q3,false
,2019 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,98,98,,,,,116,2019Q3,false
,2019 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1100,1100,,,,,116,2019Q3,false
,2019 NEW DEMOCRAT COALITION,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,806.23,806.23,,,,,116,2019Q3,false
,2019 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,568573.73,225237.65,,,,,116,2019Q3,false
,2019 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,4018.8,1751.07,,,,,116,2019Q3,false
,2019 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1280.56,951.06,,,,,116,2019Q3,false
,2019 REPUBLICAN STUDY COMMITTEE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5994,1749,,,,,116,2019Q3,false
